time_sec,taxi_id,from_cell,to_cell,to_edge,travel_time_sec
1200.0,taxi_respawn_28,8830e1ca63fffff,8830e1ca2dfffff,-376649992,99.83324231107409
1200.0,taxi_respawn_24,8830e1ca29fffff,8830e1ca2dfffff,-376649992,108.5832152918158
1200.0,taxi_respawn_2,8830e1ca63fffff,8830e1ca21fffff,-1056882877#0,100.10588628768664
1200.0,taxi_38,8830e1ca05fffff,8830e1ca21fffff,-1056882877#0,102.10058751939168
1200.0,taxi_respawn_23,8830e1ca2bfffff,8830e1ca21fffff,-1056882877#0,104.35372988498685
1200.0,taxi_respawn_15,8830e1ca07fffff,8830e1ca21fffff,-1056882877#0,113.44189641119218
1200.0,taxi_respawn_11,8830e1ca07fffff,8830e1ca21fffff,-1056882877#0,114.68374875730134
1200.0,taxi_40,8830e1ca07fffff,8830e1ca21fffff,-1056882877#0,124.644977395833
1500.0,taxi_respawn_31,8830e1ca29fffff,8830e1ca21fffff,-1056882877#0,20.32853285328533
1500.0,taxi_respawn_30,8830e1ca29fffff,8830e1ca21fffff,-1056882877#0,29.674776686108196
1500.0,taxi_respawn_8,8830e1ca29fffff,8830e1ca21fffff,-1056882877#0,47.666040713660415
1500.0,taxi_respawn_22,8830e1ca29fffff,8830e1ca21fffff,-1056882877#0,65.27773903255068
1500.0,taxi_11,8830e1ca2bfffff,8830e1ca07fffff,-117790040,22.934173079410364
1500.0,taxi_respawn_32,8830e1ca63fffff,8830e1ca2dfffff,-376649992,99.83324231107409
1800.0,taxi_respawn_41,8830e1ca2bfffff,8830e1ca07fffff,-117790040,29.770907773287913
1800.0,taxi_17,8830e1ca05fffff,8830e1ca07fffff,-117790040,52.76983808124927
1800.0,taxi_29,8830e1ca2bfffff,8830e1ca07fffff,-117790040,55.27364914380873
1800.0,taxi_14,8830e1ca2bfffff,8830e1ca07fffff,-117790040,58.80206320196452
1800.0,taxi_respawn_28,8830e1ca2bfffff,8830e1ca07fffff,-117790040,59.66936296254085
1800.0,taxi_respawn_46,8830e1ca05fffff,8830e1ca07fffff,-117790040,68.72367720450119
1800.0,taxi_respawn_42,8830e1ca29fffff,8830e1ca21fffff,-1056882877#0,29.674776686108196
1800.0,taxi_respawn_40,8830e1ca29fffff,8830e1ca21fffff,-1056882877#0,56.008301638258374
1800.0,taxi_2,8830e1ca29fffff,8830e1ca21fffff,-1056882877#0,56.3490430652045
1800.0,taxi_respawn_43,8830e1ca05fffff,8830e1ca21fffff,-1056882877#0,74.23317488417553
1800.0,taxi_respawn_44,8830e1ca63fffff,8830e1ca21fffff,-1056882877#0,79.37774735896606
1800.0,taxi_20,8830e1ca2bfffff,8830e1ca2dfffff,-376649992,84.43459854716687
1800.0,taxi_respawn_27,8830e1ca05fffff,8830e1ca2dfffff,-376649992,94.01360108868104
1800.0,taxi_38,8830e1ca05fffff,8830e1ca2dfffff,-376649992,110.58318993253246
2100.0,taxi_42,8830e1ca2bfffff,8830e1ca07fffff,-117790040,33.43038279206409
2100.0,taxi_10,8830e1ca2bfffff,8830e1ca07fffff,-117790040,34.8626609869159
2100.0,taxi_respawn_19,8830e1ca05fffff,8830e1ca07fffff,-117790040,60.15474417445038
2100.0,taxi_respawn_7,8830e1ca2bfffff,8830e1ca07fffff,-117790040,61.60722015926704
2100.0,taxi_23,8830e1ca05fffff,8830e1ca07fffff,-117790040,69.81162085988495
2100.0,taxi_respawn_36,8830e1ca2bfffff,8830e1ca07fffff,-117790040,74.24049732810934
